file,E (Ha)
conformer_8,-4862.445853
conformer_23,-4862.423484
conformer_175,-4862.436975
conformer_190,-4862.437470
conformer_192,-4862.420891
conformer_206,-4862.436178
conformer_219,-4862.436178
conformer_246,-4862.436184
conformer_248,-4862.433894
conformer_263,-4862.414463
conformer_271,-4862.443755
conformer_278,-4862.432874
conformer_287,-4862.436912
conformer_291,-4862.436179
conformer_301,-4862.427593
conformer_338,-4862.441585
conformer_354,-4862.422702
conformer_356,-4862.422642
conformer_375,-4862.423962
conformer_384,-4862.443064
conformer_399,-4862.426080
conformer_460,-4862.420850
conformer_474,-4862.436912
conformer_486,-4862.431430
conformer_495,-4862.436177
conformer_508,-4862.438351
conformer_557,-4862.442997
conformer_564,-4862.438351
conformer_567,-4862.433905
conformer_595,-4862.440509
conformer_603,-4862.420878
conformer_623,-4862.434930
conformer_685,-4862.436955
conformer_686,-4862.444392
conformer_695,-4862.436905
conformer_697,-4862.423715
conformer_698,-4862.435952
conformer_740,-4862.430168
conformer_790,-4862.438107
conformer_800,-4862.438869
conformer_802,-4862.433857
conformer_815,-4862.438348
conformer_862,-4862.431911
conformer_868,-4862.442964
conformer_896,-4862.433894
conformer_898,-4862.437687
conformer_899,-4862.448232
conformer_901,-4862.433365
conformer_902,-4862.421006
conformer_917,-4862.436917
conformer_925,-4862.436183
conformer_933,-4862.425111
conformer_945,-4862.433896
